roster_index,country,roster_name,candidate_player_id,candidate_name,candidate_team,candidate_count,review_decision,review_confidence,review_notes
8,Algeria (ALG),GOUIRI Amine,4435,Amine Gouiri,OGC Nice | Rennes,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
12,Algeria (ALG),HADJAM Jaouen,45089,Jaouen Hadjam,Nantes,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
37,Argentina (ARG),RULLI Geronimo,6694,Gerónimo Rulli,Real Sociedad,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
50,Argentina (ARG),MEDINA Facundo,30415,Facundo Axel Medina,Lens,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
96,Austria (AUT),LJUBICIC Dejan,8623,Dejan Ljubicic,FC Köln,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
100,Austria (AUT),FRIEDL Marco,15854,Marco Friedl,Werder Bremen,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
134,Bosnia And Herzegovina (BIH),KOLASINAC Sead,3510,Sead Kolašinac,Olympique de Marseille | Schalke 04,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
139,Bosnia And Herzegovina (BIH),DEMIROVIC Ermedin,6874,Ermedin Demirović,Augsburg | Deportivo Alavés,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
181,Brazil (BRA),RAYAN Rayan,4127,David Raya Martin,Spain,5,reject,high,No generated candidate plausibly matches the Brazilian roster player.
181,Brazil (BRA),RAYAN Rayan,7317,Rayan Ny Aina Arnaldo Raveloson,Auxerre,5,reject,high,No generated candidate plausibly matches the Brazilian roster player.
181,Brazil (BRA),RAYAN Rayan,12111,Rayan Aït Nouri,Algeria,5,reject,high,No generated candidate plausibly matches the Brazilian roster player.
181,Brazil (BRA),RAYAN Rayan,32649,Mathis Rayan Cherki,Lyon,5,reject,high,No generated candidate plausibly matches the Brazilian roster player.
181,Brazil (BRA),RAYAN Rayan,384888,Ray Kendry Páez Andrade,Ecuador,5,reject,high,No generated candidate plausibly matches the Brazilian roster player.
202,Cabo Verde (CPV),NUNO DA,3216,Nuno Miguel da Costa Jóia,Auxerre,1,accept,medium,Roster name appears truncated; Nuno da Costa is a strong candidate and should be checked against the source roster.
247,Colombia (COL),PUERTA Gustavo,261630,Gustavo Adolfo Puerta Molano,Bayer Leverkusen,1,accept,high,Unique candidate with compatible full-name tokens; validate before final application.
